,ID,post
196,197,"A woman who is among Jeffrey Epstein's most vocal accusers received $500,000 in 2009 to resolve a lawsuit against him. The agreement was made public as part of a lawsuit she filed against Prince Andrew, who she said raped her when she was 17. https://nyti.ms/3JEnoOM"
197,198,"The Elizabeth Holmes conviction stands out for its rarity: Few technology executives are charged with fraud and even fewer are convicted. If sentenced to prison, Holmes would be the most notable female executive to serve time since Martha Stewart."
198,199,"Fake auction sites that use photos of Indian Muslim women are the latest example of how threats of violence, particularly sexual violence, are being deployed to try to silence women, especially those critical of the country's Hindu nationalist government."
199,200,"Daily Covid-19 cases are soaring into the hundreds of thousands, presenting difficult political choices for elected officials. Our new On Politics authors break down how this will play out in this year's midterms. https://nyti.ms/3mVefaF"
200,201,Investigators are looking into the possibility that a fire that destroyed more than 900 homes in Colorado and forced tens of thousands of people to evacuate started on property owned by a fundamentalist Christian sect known as the Twelve Tribes.
201,202,Congressional investigators are examining the role of another far-right group that was involved in an expansive effort to undermine public confidence in the 2020 election and keep President Trump in power.
202,203,"The end of an era: Blackberry is ending service on its mobile devices on Jan. 4, 2022."
203,204,"The conviction of Elizabeth Holmes signals ""the end of an era,"" David Streitfeld writes. ""In Silicon Valley, where the line between talk and achievement is often vague, there is finally a limit to faking it."""
204,205,"Nearly two years into the pandemic, the Omicron variant has driven coronavirus cases to new highs, with the daily global case count surpassing a million for the first time at the end of December."
205,206,"Elizabeth Holmes, the founder of the blood testing start-up Theranos, faced 11 counts of fraud for lying to investors, patients and others to raise money and the profile for her company. Here’s what jurors decided:https://nyti.ms/3qKup7T"
206,207,"The top medical official at the U.S. Capitol urged lawmakers and their staff members on Monday to work remotely and take additional Covid precautions, citing an ""unprecedented number of cases"" among hundreds of people who work in the Capitol complex."
207,208,"Elizabeth Holmes, the founder of the failed blood testing start-up Theranos, was found guilty of four charges of fraud on Monday. She was found not guilty on four other counts. https://nyti.ms/3eKRXDV"
208,209,"Breaking News: Elizabeth Holmes, the founder of the blood testing start-up Theranos, was found guilty of four counts of fraud in a case that symbolized Silicon Valley's culture of hype."
209,210,"Hospitalizations for the coronavirus are rising steeply in New York State, approaching the peak of last winter’s surge and driving the number of deaths reported in a single day above 100 for the first time since last March, Gov. Kathy Hochul said Monday. https://nyti.ms/3pOcZYP"
210,211,"David Bowie’s estate has sold his entire songwriting catalog to Warner Music, including classics like ""Space Oddity,"" ""Let’s Dance"" and ""Heroes."" The price of the transaction was not disclosed, but is estimated at about $250 million."
211,212,"The Omicron variant is two to three times as likely to spread as Delta, though it is less severe overall. Here's what we know."
212,213,"More than 8,000 flights in the U.S. were canceled from Saturday through Monday, affecting more than one in 10 scheduled flights, according to a tracking service, as storms and staff shortages because of Covid hampered airlines during the holiday travel rush. https://nyti.ms/3qE05M0"
213,214,The sheer number of people who have Covid-19 in New York City is overwhelming the city's free hotel quarantine programs — both the one for the general public and another for people in homeless shelters.
214,215,"The Pentagon is building a second courtroom for war crimes trials at Guantánamo Bay that will exclude the public from the chamber, in the base's latest move toward secrecy. The courtroom will allow two military judges to hold proceedings simultaneously."
215,216,"""In hindsight, it’s clear that this romance between California and her citizens was fundamentally unstable, built on a lousy foundation and crumbling for years. We were in the midst of the worst wildfire season in the state’s history, and the evident wrongness traumatized us and shook us awake. Living in California now meant accepting that fire was no longer an episodic hazard, like earthquakes. Wildfire was a constant, with us everywhere, every day, all year long, like tinni… See more"
216,217,"Chronic psychological stress may be as important — and possibly more important — to the health of your heart as the traditional cardiac risk factors, new studies suggest."
217,218,"While watching a Vancouver Canucks hockey game, Nadia Popovici spotted a troubling mole on the neck of Brian Hamilton, an assistant equipment manager. So she wrote him a message and held it up to the plexiglass. It saved his life."
218,219,"Viktor Orbán, Hungary’s far-right prime minister, has spent millions on an influence campaign in Washington to court the right, including Donald Trump and his allies. On Monday, Trump formally endorsed Orbán for re-election."
219,220,"Federal government offices and schools in the Washington, D.C., area were closed on Monday as the region received its first significant snowfall of the season, part of a winter storm that left hundreds of thousands without power."
220,221,"Food restriction just makes you want to eat more, studies show. Now researchers are encouraging a new approach to healthy eating that instead focuses on brain science."
221,222,Hospitals are strained by the Delta variant and face a rise of patients infected with the more contagious Omicron. But Dr. Anthony Fauci says Americans should focus on the threat the winter wave poses to hospitals and less on the record number of cases.
222,223,"Combine Walmart, Disney, Netflix, Nike, Exxon Mobil, Coca-Cola, Comcast, Intel, McDonald’s, AT&T, Goldman Sachs, Boeing, IBM and Ford."
223,224,"In August 2018, Apple became the first American company ever to be worth $1 trillion, an achievement that took 42 years. It surged past $2 trillion two years later. Its next trillion took just 16 months and 15 days. https://nyti.ms/3EQnu1S"
224,225,"Mayor Eric Adams of New York City insisted schools would remain open despite surging Omicron cases in the city. He said remote learning has been too damaging, especially to children in low-income neighborhoods and homeless students. https://nyti.ms/3eMKswq"
225,226,"Over 2,000 flights in the U.S. were canceled on Monday because of bad weather, including a storm in the Washington area, and crew shortages on what was expected to be one of the busiest travel days of the holiday season."
226,227,"Gov. Kathy Hochul will propose a limit of two four-year terms for New York governors in her State of the State address on Wednesday, a move that could allow her to distance herself from former Gov. Andrew M. Cuomo, who held outsize power for over a decade."
227,228,Jurors in the trial of Elizabeth Holmes said they were unable to agree on three of the 11 counts in her fraud case as deliberations stretched into their seventh day on Monday.
228,229,"The Pentagon often failed to conduct even simple internet searches before dismissing reports of civilian casualties, documents show."
229,230,A growing number of public schools across the U.S. have postponed reopening after the holiday break or switched to remote learning because of coronavirus outbreaks and staffing shortages.
230,231,Facebook has suspended Rep. Marjorie Taylor Greene's account for 24 hours for spreading misinformation about the coronavirus. This comes a day after Twitter banned her personal account for posting a similar message.
231,232,"Federal government offices and schools in the Washington, D.C., area were closed on Monday as the region received its first significant snowfall of the season, part of a winter storm that left hundreds of thousands without power. https://nyti.ms/3eQVoZK"
232,233,"Josh Wardle, a software engineer in Brooklyn, knew his partner loved word games and created a guessing game for the two of them called Wordle. Just over two months after releasing it to the rest of the world, the once-a-day game has over 300,000 players."
233,234,"An 80-year-old woman made headlines around the world for her botched restoration of a century-old fresco of Jesus crowned with thorns. The result was so bungled, authorities at first thought the painting had been vandalized."
234,235,"After years of indulging him, EU leaders now widely consider Viktor Orban, Hungary's far-right prime minister, an existential threat to the bloc's democratic principles and are trying to rein him in."
235,236,Millions of at-home Covid tests are flying off pharmacy shelves across the U.S. But most of the rapid test results are not reported. That’s magnifying questions about how best to measure the spread of the virus.
236,237,The New York State attorney general’s office is seeking to question Donald Trump Jr. and Ivanka Trump as part of a civil investigation into the Trump Organization.
237,238,"Some Americans with compromised immune systems are getting unapproved fourth or fifth Covid-19 shots, despite uncertainty about their safety or effectiveness."
238,239,"Donald Trump endorsed Prime Minister Viktor Orban of Hungary on Monday, formally pledging his ""complete support"" to the far-right leader who has touted turning Hungary into an ""illiberal democracy."""
239,240,Breaking News: The FDA cleared boosters of the Pfizer-BioNTech vaccine for 12- to 15-year-olds. The CDC is expected to sign off before shots are given out.
240,241,"President Jair Bolsonaro of Brazil was flown back to São Paulo on Monday and hospitalized for treatment of a possible stomach obstruction while on vacation in the southern state of Santa Catarina, his office and a hospital said."
241,242,"Richard Leakey, the Kenyan paleoanthropologist and fossil hunter whose discoveries of ancient human skulls and skeletons helped cement Africa’s place as the cradle of humanity, died on Sunday in Kenya. He was 77."
242,243,"Hundreds of thousands of customers in the Southeast U.S. are without power and federal government offices in the Washington, D.C., area are closed as a winter storm moves up the East Coast."
243,244,"A meteor likely either ""exploded or vaporized"" over Pittsburgh on Saturday, a meteorologist said, setting off a strong vibration that one resident likened to a ""shock wave."""
244,245,A $231 million project is a test case for whether a region once completely dependent on digging fossil fuels from the ground can be revived by creating clean energy from the sun.
245,246,"As the anniversary of the Jan. 6 Capitol riot approaches, the House committee investigating the day's events is preparing to hold public hearings and has not ruled out subpoenas for members of Congress, Mike Pence or Donald Trump."
246,247,"“We can’t always do poetry,” a Venice official said. “We must give security.” The city is moving to replace the glass on a troubled bridge designed by Santiago Calatrava after too many pedestrians have slipped."
247,248,"If 2021 was the year of missions to Mars, the next year could be dominated by trips to the moon. As many as nine missions from an assortment of countries and private companies may orbit or land on the moon."
248,249,As Americans return to work and school on Monday we asked about their concerns as coronavirus cases skyrocket.
249,250,Water vs. seltzer? Can food affect the brain? We’ve rounded up useful research on diet and nutrition to stay healthy in the new year.
250,251,"The more you read about the history of disgust, the more convinced you might be that it's the energy powering a whole host of seemingly unrelated phenomena, from culture wars to mermaids, Molly Young writes in the New York Times Magazine."
251,252,"John Madden, the legendary Hall of Fame coach, prolific broadcaster and NFL ambassador, died on Tuesday. He was 85. ""John Madden is as important as anybody in the history of football,"" Al Michaels, his former broadcast partner, said."
252,253,"South Korea is reckoning with a new type of political correctness enforced by angry young men who bristle at any forces they see as undermining opportunity — and feminists, in their minds, are enemy No. 1."
253,254,"The Chinese government says its planned overhaul of a women’s rights law shows its dedication to gender equality. At the same time, it’s censoring and detaining feminist activists."
254,255,More than 300 people are scheduled for eviction from Nooksack tribal housing in Washington State under the tribal leadership’s plan to disenroll them from the tribe. The ousted members are appealing to Washington for federal intervention.
255,256,"""I work in a small office in a hip urban West Coast city. I have a small team of four women who work under me, and my boss (older, white male) largely stays out of issues that are not strictly work related. Recently, one of my team members broke up with her partner, and she began bringing her dog to the office. At first, she’d go home at lunch and come back with the dog in the afternoon a few days per week. Now, the dog is there every single day, all day. The dog is relativel… See more"
256,257,"Thanks to “genetic genealogy,” solving crimes with genomic databases is becoming mainstream — with some uncomfortable implications for the future of privacy."
257,258,"In almost everyone's never-ending quest for better sleep, the adult bedtime story industry is booming."
258,259,Verizon and AT&T have declined regulators’ request to delay their new 5G services. The standoff could further complicate a tumultuous period for the airlines that has been filled with cancellations.
259,260,"These are not the year’s best video games, and some of them aren’t even that new. But they are the ones that helped some Times journalists get through yet another unexpected year."
260,261,"“That is not a bridge,” Angelo Xalle, a retired port worker said of the Venice footbridge by Santiago Calatrava that has been plagued by problems. “It’s a trap,” he said, recalling helping injured people get up from its sleek floor."
261,262,Colorado residents are just beginning to grasp the damage caused by the recent wildfires and what it will take to rebuild.
262,263,"Despite gains in education, employment and earnings in recent decades, American women still face a rockier road to secure retirement than men."
263,264,"The Chinese government says its planned overhaul of a women’s rights law shows its dedication to gender equality. At the same time, it’s censoring and detaining feminist activists."
264,265,"“She took me out of a slow fire,” Brian Hamilton said at a news conference on Saturday, his voice quavering at times. “And the words out of the doctor’s mouth were if I ignored that for four to five years, I wouldn’t be here.”"
265,266,"Our weekly World Through a Lens series has offered readers a glimpse of distant places and cultures that, for a second straight year, remained largely inaccessible. Here are a handful of our favorite essays from 2021."
266,267,And how do I get it to stop?
267,268,"As you set your 2022 resolutions, here’s a dash of inspiration from people who prove it’s never too late to pursue your dreams."
268,269,"Betty White died on Friday at 99. Her television career started in 1949 and included star turns on ""The Mary Tyler Moore Show"" in the 1970s and ""Golden Girls"" in the 1980s."
269,270,"Nicole Kidman says comedies do not come easily to her — not as a genre and not as acting opportunities. So after signing onto “Being the Ricardos” with some gusto, she said she began to get cold feet."
270,271,"Sudan’s prime minister, who was ousted in a military coup but reinstated over a month ago, said Sunday that he was resigning. Abdalla Hamdok's decision  is the latest disruption to the country’s shaky transition to democracy from dictatorship."
271,272,"On a video conference call with reporters after the game, Bruce Arians implied the team would release Brown. “He is no longer a Buc,” Arians said. “That’s the end of the story. Let’s talk about the guys that went out there and won the game.” https://nyti.ms/3zkMz3O"
272,273,"In The New York Times Opinion Section ""Our political life seems more or less normal these days,"" writes the editorial board. ""But peel back a layer, and things are far from normal. Jan. 6 is not in the past; it is every day."""
273,274,"On product brochures and test result sheets, prenatal testing companies advertise their findings as ""reliable"" and ""highly accurate"" to pregnant women and their doctors, offering ""total confidence"" and ""peace of mind."""
274,275,"""High anxiety would be how I would describe what I am feeling."" Americans share their concerns as many return to work and school as coronavirus cases skyrocket."
275,276,Puerto Rico had a staggering increase in coronavirus cases in recent weeks after mounting one of the nation’s most successful vaccination campaigns. A third of all cases it has recorded since the start of the pandemic occurred in the past month.
276,277,New studies on animals suggest why Omicron is less severe than earlier variants: It seems to cause much less damage to the lungs.
277,278,"A pandemic benefit that helped millions of American families with children is ending this month. Anna Lara, a mother of two young children who lost her job in the pandemic, said the benefit helped her family make ends meet. "
278,279,"Bosnia is facing its gravest crisis since the Balkan wars in the 1990s. The Serb nationalist leader, Milorad Dodik, is threatening to tear the country apart."
279,280,Here's a team-by-team guide for every NFL team not yet eliminated.
280,281,"If your daily diet could use a tuneup, join the Well columnist Tara Parker-Pope for the Eat Well Challenge. For the next four weeks, starting Monday, she will be sharing the latest science on how to form healthy eating habits and curb emotional eating."
281,282,Twenty-one people were rescued after spending New Year's Eve freezing and stranded in aerial tram cars on a mountain in New Mexico.
282,283,"The South Korean military says an unidentified person crossed the Demilitarized Zone into North Korea over the weekend, its latest security lapse at one of the world’s most heavily armed borders."
283,284,"Stacey Abrams, the Georgia Democrat running for governor, has admirers in both the progressive and moderate wings of her party. With Republicans eager to defeat her, her carefully calibrated positions face an electoral test in 2022."
284,285,Dr. Anthony Fauci said Sunday that the nation should focus less on the skyrocketing number of coronavirus infections and more on the number of hospitalizations and deaths.
285,286,A former coal mine in the heart of Appalachia will soon be blanketed with solar panels installed by former miners. 
286,287,"A jail run by low-level managers, the correction officers’ union and even gang members: How New York City leaders lost control of Rikers Island."
287,288,NASA didn’t find life on Mars while Jim Green was the agency’s chief scientist. But retirement doesn’t mean he’s finished with the search. https://nyti.ms/3zhUAGU
288,289,"Breaking News: Twitter permanently suspended the personal account of Representative Marjorie Taylor Greene, a Republican of Georgia. The company said she had repeatedly violated its Covid-19 misinformation policies."
289,290,"""The Lost Daughter,"" Maggie Gyllenhaal's first feature as director and our Critic's Pick, is a dreamy novel-adapted thriller that follows an academic with a mysterious past who heads to a beach vacation on the Greek islands."
290,291,"A large fire was burning at South Africa’s Houses of Parliament on Sunday morning, sending fire crews racing to save the historic structures."
291,292,"The sharp rise in Covid cases in the U.S. from the Omicron variant will peak by mid-January, scientists are projecting. ""It’s shocking. It’s disturbing,"" said a Columbia University epidemiologist who led the data modeling."
292,293,They resorted to rationing Life Savers gummies and six water bottles as they spent their first few hours of 2022 waiting for helicopter crews to arrive. https://nyti.ms/32Twoyk
293,294,The number of people who are sick with the Omicron variant of the coronavirus may be overwhelming New York City’s quarantine program for people who cannot easily isolate themselves — both for the general public and another for people in homeless shelters.
294,295,"Though most of the institute’s titles aren’t recognizable to the general public — the six-volume, 19th-century Eastern Orthodox canon collection “Syntagma tôn theiôn kai hierôn kanonôn” never did make a best-seller list — they are precious to scholars."
295,296,The Omicron variant has fueled a rise in Covid-19 cases across the United States. Here’s what you need to know if you get infected.
296,297,"Our critics pick the TV shows, movies, music, art, comedy and theater they are looking forward to in 2022."
297,298,"Linda Larson, who was diagnosed with schizophrenia when she was a teenager, wants to change the name of the illness to something less stigmatizing. People hear it and think, ""violent, amoral, unhygienic,"" she said."
298,299,"The New York Times asked 1,320 mental health professionals how their patients are coping after nearly two years of the pandemic. The responses painted a mostly grim picture of a growing crisis. “There is so much grief and loss,” said one psychologist."
299,300,"14-year-old Michael Artiaga is the 2020 and 2021 Tetris world champion. Andy, his 16-year-old brother, won second in the Classic Tetris World Championships. They are part of a rising trend in classic gaming competitions, where players are getting younger."
300,301,"At 64, Shane MacGowan, the famously surly former frontman of the Pogues, has slowed down some, but his hunger for an artistic life is still insatiable."
301,302,"Elijah Wood kept a pair of hairy hobbit feet in the same box they were given to him in for over 20 years, reminding him of his time in ""The Lord of the Rings"" trilogy. As he reflects on his career, he knows that to some fans, he will always be Frodo."
302,303,"A Glasgow nightclub is installing technology that will turn dancers' body heat into renewable energy, which will then be used to heat or cool the club."
303,304,"Hank Aaron, Stephen Sondheim, Bob Dole, Joan Didion: A parade of headline names from decades past died this year, but the loss of Colin Powell spoke most directly to the moment the world is in now. A look back at the deaths of 2021."
304,305,Water vs. seltzer? Can food affect the brain? We’ve rounded up useful research on diet and nutrition to stay healthy in the new year.
305,306,"This website ranks youth hockey teams, even for 9-year-olds"
306,307,"Sam Fender has become one of Britain’s biggest rock acts by singing about working-class life in all its complexity. Unusually, he still lives in the area of northern England where he grew up. https://nyti.ms/3Jsmm8p"
307,308,NBA teams have called on more than 80 aspiring pros and league veterans to reinforce their rosters in recent weeks as the rapidly spreading Omicron variant has sidelined many of the league's regular stars.
308,309,"California home prices far outpaced the national average, with outlying suburbs and smaller metro areas seeing the most significant increases."
309,310,"In “The Book of Boba Fett,” Disney+ forgets a lesson from “Star Wars” history: A Mandalorian is more interesting with his helmet on. Read our review here."
310,311,"In almost everyone's never-ending quest for better sleep, the adult bedtime story industry is booming."
311,312,Stream these titles before they leave Netflix in January
312,313,The latest crop of alcohol-free sparkling rosés take away the hangover but leave plenty for wine lovers to enjoy.
313,314,"Surprise medical bills, issued by a doctor that a patient did not choose and who did not accept the patient's insurance, will be made illegal by a law that goes into effect today."
314,315,We’ve collected the top pieces of advice from our most popular mental health stories to help you carry calm and clarity into 2022.
315,316,Finding a house big enough to accommodate their growing family was hard enough. Doing it just as the pandemic market exploded in Los Angeles was even trickier.
316,317,"Desmond Tutu, a powerful opponent of apartheid and Cape Town’s first Black archbishop, was remembered in a modest ceremony scaled down further by pandemic restrictions. https://nyti.ms/32BbhkS"
317,318,"In Opinion“Our political life seems more or less normal these days,” writes the editorial board. “But peel back a layer, and things are far from normal. Jan. 6 is not in the past; it is every day.”"
318,319,About seven million gallons of untreated sewage have spilled into the Dominguez Channel in Los Angeles County since Thursday.
319,320,"Which Covid test should you get? When should you get tested, and what if you can’t find one? We’ve got answers for you here."
320,321,"From supply chain issues to ""The Great Resignation"" and the demise of hard pants and skinny jeans, the trends of 2021 can tell us a lot about the economy. Here's a look at what we learned this year — and what to expect in 2022. https://nyti.ms/3pOCsBz"
321,322,"Our critics pick the TV shows, movies, music, art, comedy and theater they are looking forward to in 2022."
322,323,"""How is this happening to me?"" A 32-year-old pregnant woman received a call from her doctor's office saying that a prenatal blood test indicated that her fetus might be missing part of a chromosome. The next day, doctors tested a small piece of her placenta and it showed that the initial result was wrong. Today, her 6-month-old shows no signs of the condition he initially screened positive for. "
323,324,Santander UK is scrambling to recover about $175 million (about £130 million) that it accidentally paid tens of thousands of people on Christmas Day.
324,325,"An off-duty officer was shot while sleeping in a car outside a police station in Harlem, Mayor Adams said. The officer is in stable condition."
325,326,A snowstorm brought relief to fire crews battling massive fires in Colorado. But those whose homes survived were struggling against new threats — from cold and ice.
326,327,"Dan Reeves, a former player and coach of the Dallas Cowboys who guided teams to four Super Bowls, died on Saturday at his home in Atlanta. He was 77."
327,328,"As we embark on another trip around the sun, just how far did we travel in the past year? Test your knowledge of the universe in our quiz."
328,329,"Documentaries about the Beatles, Billie Eilish and the 1969 Harlem Cultural Festival were about reclaiming and rethinking memory, about unexpected echoes across decades, about transparency and the mysteries of artistic production. https://nyti.ms/3EHWaDd"
329,330,"Roman, a health care company known for catering to millennial men with products like Viagra, has diversified its product line into Covid testing. And it’s earning new fans along the way."
330,331,"U.S. and foreign intelligence officials have pieced together a profile of a suicide bomber who killed nearly 200 people outside the airport in Kabul, Afghanistan, last August."
331,332,How high will the U.S. coronavirus surge go after the holidays? Should you get tested?
332,333,"It's been 10 years since the release of “Pariah,"" the first movie about a Black queer woman to be shown in theaters nationwide by a Hollywood studio. It pushed boundaries, but we still haven’t had another film like it. https://nyti.ms/3sMjPA4"
333,334,"Airlines canceled more than 2,400 flights across the United States by midday Saturday, by far the worst day in the industry’s weeklong struggle with bad weather and crew shortages."
334,335,"Kim Jong-un has begun his second decade in power not with a show of force, or with diplomatic overtures to Washington or Seoul, but with a promise to ""completely solve the food problem"" in North Korea."
335,336,"""A friend’s daughter has sent my family an invitation to her upcoming “Plantation Wedding” in a Southern city. I had been looking forward to attending until I became aware of the appalling and tragic history of this estate and gardens. I am deeply troubled by the thought of celebrating on the grounds where hundreds of men, women and children were bought and sold, enslaved and tortured, so that white people can enjoy the privilege of a fairy-tale wedding."
336,337,"The story behind black-eyed peas, greens and other New Year’s rituals."
337,338,South Africa said farewell on Saturday to Archbishop Desmond M. Tutu with the simplicity that he had planned.
338,339,Third quarter reports showed that cash buying has returned to nearly half of all purchases in Manhattan – so much for the Covid discount. The increased competition is coming just as interest in the surrounding suburbs is dipping and prices are plateauing. https://nyti.ms/3HoCllP
339,340,At least 12 people were killed and more than a dozen were injured in a stampede early Saturday near the city of Jammu in the Indian-controlled portion of Kashmir.
340,341,"Meisha Porter, the departing New York City schools chancellor who pushed the nation's largest school district to reopen amid the pandemic, reflected on her tenure in two interviews with The Times."
341,342,"Since the explosion last Christmas, the city has grappled with how rebuilding will fit into its larger ambitions of transforming downtown. The hope is to draw more than just tourists."
342,343,"The meanness of the public has forced many public-facing industries to rethink what used to be an article of faith: that the customer is always right. If employees are now having to take on many unexpected roles — therapist, cop, conflict-resolution negotiator — then workplace managers are acting as security guards and bouncers to protect their employees."
343,344,And how do I get it to stop?
344,345,"""We live in a penthouse apartment with a wraparound roof terrace in a large high-rise in Greenpoint, Brooklyn. Two weeks ago, a maintenance crew arrived unannounced to erect an enormous gantry on the terrace in order to access windows  below that need repairs. We were told the work would take a few days, but they’re nowhere near finished. Since the crews require access to our apartment to reach the terrace, they come and go at all hours, sometimes arriving before we are out o… See more"
345,346,"Many paid tribute to Betty White as a performer who had been ahead of her times, championing equity causes before they became popular."
346,347,"Michelle Odinet, of the City Court of Lafayette, Louisiana, resigned on Friday, saying in a letter that ""my words did not foster the public's confidence and integrity for the judiciary."""
347,348,New studies on animals suggest why Omicron is less severe than earlier variants: It seems to cause much less damage to the lungs. https://nyti.ms/3zcFC4Q
348,349,"For international travelers who need Covid-19 tests to enter their destinations, finding a test has become increasingly difficult. Even if you can get a test, it is far from guaranteed that your results will come back in time for you to board. https://nyti.ms/3qDiVmB"
349,350,"This large, fluffy pancake, first featured in The New York Times for Mardi Gras in 1983, is excellent for New Year's Day breakfast, brunch, lunch and dessert."
350,351,"Typically, New Year’s Day is an occasion to consider the past and celebrate the future. But this year of all years, when so much from 2021 has carried over to 2022, what does it mean for a year to be new? https://nyti.ms/3eK3Yte"
351,352,"International travelers in search of Covid tests are scrambling to find testing sites: Appointments are booked and walk-in sites often have hourslong waits. Even if you can get a test, your results might not come back in time for you to board your flight."
352,353,"AirTags, the small location-tracking discs, may be abetting a new form of stalking, posing a ""uniquely harmful"" threat given the ubiquity of Apple’s products. Privacy groups warned against this concern when Apple introduced the devices in April."
353,354,Chancellor Olaf Scholz — the first person in nearly two decades other than Angela Merkel to deliver Germany's traditional New Year’s Eve address — called for unity and vaccinations.
354,355,Eric Adams was sworn in as New York City’s 110th mayor. He faces difficult decisions over how to handle the next wave of the pandemic.
355,356,"Betty White, who died on Friday, less than three weeks before her 100th birthday, began her television career in 1949, and had memorable roles and numerous TV appearances in each of the last seven decades. https://nyti.ms/3eFlgb9"
356,357,"What happens at a newspaper when there's not very much news? At The New York Times, editors are always preparing for that situation."
357,358,Stream these 9 titles before they leave Netflix in January
358,359,"""Around the World in 80 Days,"" a new TV series on PBS based on Jules Verne's 1872 novel, is tailored to contemporary sensibilities. ""The show looks at the social mores and expectations of the era with a 21st-century lens,"" the actor David Tennant said."
359,360,"The sharp rise in Covid cases in the U.S. from the Omicron variant will peak by mid-January, scientists are projecting. ""It’s shocking. It’s disturbing,"" said a Columbia University epidemiologist who led the data modeling."
360,361,"With a touch of chutzpah and a passion for photography, an immigrant janitor at a Montreal synagogue put down his mop, picked up a beat-up old camera and began a new career as the city’s Bar Mitzvah photo king. ""I’m the Canadian dream,"" he said."
361,362,"The biotechnology company Novavax said on Friday that it would ask the FDA to authorize its Covid-19 vaccine in January. If approved, the vaccine would be the fourth to become available in the U.S."
362,363,"An immigrant janitor at a Montreal synagogue traded his mop for a camera and a new career as the city’s Bar Mitzvah photography king. ""I’m the Canadian dream,"" he said. https://nyti.ms/3JtaxyG"
363,364,In Opinion
364,365,The number of people who are sick with the Omicron variant of the coronavirus may be overwhelming New York City’s quarantine program for people who cannot easily isolate themselves — both for the general public and another for people in homeless shelters.
365,366,Some drivers who used GPS apps to bypass highway closings in the Sierra Nevada during a snowstorm this week got sent on a harrowing detour.
366,367,"Betty White is dead at 99. Her television career started in 1949 and included star turns on ""The Mary Tyler Moore Show"" in the 1970s and ""Golden Girls"" in the 1980s. https://nyti.ms/3zgqCTu"
367,368,"Breaking News: Betty White is dead at 99. Over nearly 70 years, she built an Emmy Award-winning television career that spanned ""The Mary Tyler Moore Show,"" ""The Golden Girls"" and ""Saturday Night Live."""
368,369,"Beijing authorities are using investigative software to track and silence critics on social media, reaching far beyond China’s borders."
369,370,"People who had the Omicron variant of the coronavirus were about half as likely to need hospital care as those with the Delta variant, a report by British health officials said. The analysis of public data also found that vaccination offers strong protection against hospitalization and severe illness following Omicron infection."
370,371,Masks will likely remain a part of our lives well into 2022. Wirecutter has tried 37 types and confirmed their filtration claims with government agencies or its own lab tests to identify reliable options.
371,372,"In parts of Latin America, the traditional burning of rag dolls was used to symbolically banish the woes of the year gone by. Nowadays, it’s not uncommon to see effigies of TV hosts and ex-presidents going up in flames."
372,373,"""The Lost Daughter,"" Maggie Gyllenhaal's first feature as director and our Critic's Pick, is a dreamy novel-adapted thriller that follows an academic with a mysterious past who heads to a beach vacation on the Greek islands."
373,374,"Breaking News: Medicare officials are deciding whether to cover Aduhelm, a controversial new Alzheimer's drug, which the FDA approved despite unclear evidence that it helps patients. The outcome may help decide the drug's future."
374,375,"Virginia filed a lawsuit against the town of Windsor for what the state attorney general called a pattern of ""discriminatory, unconstitutional policing."" Windsor Police came under scrutiny after two officers threatened and pepper sprayed a Black and Latino Army officer at a traffic stop last December."
375,376,Breaking News: New studies on animals suggest why Omicron is less severe than earlier coronavirus variants: It seems to cause much less damage to the lungs.
376,377,"At companies large and small, new and old, 2021 was a year that played havoc with expectations."
377,378,Our reports have been investigating experts who help exonerate police officers after deaths in custody. We found that scientists who defend the police have also helped train thousands of officers. One training in particular caught their attention.
378,379,"Under Mayor Bill de Blasio, New York City's budget and municipal work force have risen to record highs. The next mayor, Eric Adams, might have to rein it in."
379,380,"Wildfires pushed by high winds in Colorado swept through suburban areas near Denver on Thursday, burning at least 500 homes and forcing tens of thousands of residents to flee. Here’s what we know:"
380,381,Today's episode of The Daily looks at the aftermath of a February storm in Texas through the eyes of three women.
381,382,"The fraud trial of Elizabeth Holmes, founder of the failed blood testing start-up Theranos, was originally scheduled to wrap in early December. It stretched to 14 weeks of testimony and is set to enter its seventh day of jury deliberations on Monday."
382,383,"Many more people, including those who have been vaccinated against Covid, will test positive for the coronavirus as the Omicron variant spreads. So what should you do if you’re one of them? Here's what physicians and infectious disease experts say."
383,384,A new outdoor mask mandate took effect on Friday in Paris as part of an effort to slow down the spread of the Omicron variant.
384,385,"Amy Schneider, who broke the “Jeopardy!” record for most consecutive wins by a female contestant this week, extended her streak on Thursday with her 22nd victory."
385,386,"The most popular NYT Cooking recipe of 2021 includes only three ingredients, plus salt. "
386,387,"Elizabeth Holmes, the Theranos founder, spent seven days on the stand in her fraud trial. Her fate is now in the hands of a jury that has deliberated for 43 hours — so far."
387,388,"Airlines and passengers are ending the year with many of their plans upended. And New Year’s weekend may be bumpy, too."
388,389,More people on average are getting infected with the coronavirus daily than at the height of the global pandemic last April. Covid cases are rising across the planet as the Omicron variant continues to spread. Here's where cases are rising the fastest.
389,390,The Chinese police have turned to intimidation to silence even obscure critics on overseas social media. Their targets include college students and non-Chinese nationals who have criticized the country.
390,391,"The Navy has fired the commander and the second in charge of the combat ship Montgomery because of “a loss of confidence in their ability to command,” the service said."
